student_id,first_name,last_name,email,dob,enrolled_at,active,section
1,Aryan,Sinha,aryan1@example.edu,2010-05-14,2025-06-17 15:37:33.023132+00:00,True,1A
2,Ishaan,Reddy,ishaan2@example.edu,2010-06-21,2025-06-17 15:37:33.023132+00:00,True,1A
3,Zoya,Malik,zoya3@example.edu,2010-04-03,2025-06-17 15:37:33.023132+00:00,True,1A
4,Vihaan,Das,vihaan4@example.edu,2010-07-29,2025-06-17 15:37:33.023132+00:00,True,1A
5,Kavya,Sen,kavya5@example.edu,2010-09-19,2025-06-17 15:37:33.023132+00:00,True,1A
6,Aarush,Kapoor,aarush6@example.edu,2010-03-11,2025-06-17 15:37:33.023132+00:00,True,1A
7,Anaya,Shah,anaya7@example.edu,2010-12-05,2025-06-17 15:37:33.023132+00:00,True,1A
8,Dhruv,Joshi,dhruv8@example.edu,2010-10-08,2025-06-17 15:37:33.023132+00:00,True,1A
9,Myra,Verma,myra9@example.edu,2010-02-22,2025-06-17 15:37:33.023132+00:00,True,1A
10,Reyansh,Iyer,reyansh10@example.edu,2010-08-13,2025-06-17 15:37:33.023132+00:00,True,1A
11,Saanvi,Chatterjee,saanvi11@example.edu,2010-04-26,2025-06-17 15:37:33.023132+00:00,True,1A
12,Advait,Patel,advait12@example.edu,2010-06-09,2025-06-17 15:37:33.023132+00:00,True,1A
13,Aisha,Mishra,aisha13@example.edu,2010-11-20,2025-06-17 15:37:33.023132+00:00,True,1A
14,Kabir,Jain,kabir14@example.edu,2010-05-07,2025-06-17 15:37:33.023132+00:00,True,1A
15,Naira,Tiwari,naira15@example.edu,2010-03-17,2025-06-17 15:37:33.023132+00:00,True,1A
16,Shaurya,Singh,shaurya16@example.edu,2010-08-02,2025-06-17 15:37:33.023132+00:00,True,1A
17,Meher,Ghosh,meher17@example.edu,2010-01-19,2025-06-17 15:37:33.023132+00:00,True,1A
18,Yuvraj,Roy,yuvraj18@example.edu,2010-10-10,2025-06-17 15:37:33.023132+00:00,True,1A
19,Kiara,Bhatt,kiara19@example.edu,2010-06-14,2025-06-17 15:37:33.023132+00:00,True,1A
20,Neil,Mehta,neil20@example.edu,2010-09-25,2025-06-17 15:37:33.023132+00:00,True,1A
21,Ria,Chopra,ria21@example.edu,2010-02-04,2025-06-17 15:37:33.023132+00:00,True,1B
22,Arnav,Pandey,arnav22@example.edu,2010-06-18,2025-06-17 15:37:33.023132+00:00,True,1B
23,Tara,Gill,tara23@example.edu,2010-11-13,2025-06-17 15:37:33.023132+00:00,True,1B
24,Vivaan,Kulkarni,vivaan24@example.edu,2010-07-22,2025-06-17 15:37:33.023132+00:00,True,1B
25,Aanya,Yadav,aanya25@example.edu,2010-03-01,2025-06-17 15:37:33.023132+00:00,True,1B
26,Devansh,Thakur,devansh26@example.edu,2010-09-02,2025-06-17 15:37:33.023132+00:00,True,1B
27,Inaaya,Dwivedi,inaaya27@example.edu,2010-12-24,2025-06-17 15:37:33.023132+00:00,True,1B
28,Krish,Rawat,krish28@example.edu,2010-05-30,2025-06-17 15:37:33.023132+00:00,True,1B
29,Amaira,Saxena,amaira29@example.edu,2010-01-11,2025-06-17 15:37:33.023132+00:00,True,1B
30,Ayaan,Nagpal,ayaan30@example.edu,2010-10-19,2025-06-17 15:37:33.023132+00:00,True,1B
31,Navya,Garg,navya31@example.edu,2010-07-03,2025-06-17 15:37:33.023132+00:00,True,1B
32,Atharv,Kohli,atharv32@example.edu,2010-06-26,2025-06-17 15:37:33.023132+00:00,True,1B
33,Sarah,Vyas,sarah33@example.edu,2010-09-11,2025-06-17 15:37:33.023132+00:00,True,1B
